Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000031222457331,800000031222143440,134,,CASH,AM,AM,0.00,5.39,Front Box Cash Drawer,10/26/25 11:28 AM,10/26/25 11:23 AM
800000031222488698,800000031222374239,137,,CASH,Martina,Martina,0.00,7.88,Drive Thru Cash Drawer,10/26/25 11:29 AM,10/26/25 11:27 AM
800000031222546228,800000031222409069,138,,CASH,Martina,Martina,0.00,8.62,Drive Thru Cash Drawer,10/26/25 11:30 AM,10/26/25 11:27 AM
800000031222703304,800000031222486568,139,,CREDIT,Martina,Martina,0.00,5.29,,10/26/25 11:32 AM,10/26/25 11:28 AM
800000031222781908,800000031222781331,144,,CASH,AM,AM,0.00,16.53,Front Box Cash Drawer,10/26/25 11:33 AM,10/26/25 11:33 AM
800000031222897295,800000031222652100,141,,CREDIT,Martina,Martina,0.00,11.86,,10/26/25 11:35 AM,10/26/25 11:31 AM
800000031222981224,800000031222742113,143,,CREDIT,Martina,Martina,0.00,23.14,,10/26/25 11:37 AM,10/26/25 11:33 AM
800000031223009044,800000031221554336,124,17,CREDIT,samantha,AM,0.00,47.84,,10/26/25 11:37 AM,10/26/25 11:12 AM
800000031223054258,800000031222683450,140,,CREDIT,AM,AM,0.00,18.64,,10/26/25 11:38 AM,10/26/25 11:32 AM
800000031223079169,800000031222888501,145,,CREDIT,Martina,Martina,0.00,7.71,,10/26/25 11:38 AM,10/26/25 11:35 AM
800000031223079580,800000031221122063,118,8,CREDIT,Sami,AM,9.00,45.53,,10/26/25 11:38 AM,10/26/25 11:04 AM
800000031223127780,800000031222996484,147,,CREDIT,Martina,Martina,0.00,8.74,,10/26/25 11:39 AM,10/26/25 11:37 AM
800000031223230820,800000031223066421,148,,CASH,Martina,Martina,0.00,8.65,Drive Thru Cash Drawer,10/26/25 11:41 AM,10/26/25 11:38 AM
800000031223240821,800000031223238828,150,,CASH,AM,AM,0.00,23.79,Front Box Cash Drawer,10/26/25 11:41 AM,10/26/25 11:41 AM
800000031223332729,800000031223131022,149,,CREDIT,Martina,Martina,0.00,6.47,,10/26/25 11:43 AM,10/26/25 11:39 AM
800000031223442537,800000031223215605,151,,CREDIT,Martina,Martina,1.00,13.50,,10/26/25 11:45 AM,10/26/25 11:41 AM
800000031223541174,800000031223312008,153,,CREDIT,Martina,Martina,0.00,9.38,,10/26/25 11:46 AM,10/26/25 11:42 AM
800000031223592961,800000031223413975,154,,CREDIT,Martina,Martina,0.00,12.98,,10/26/25 11:47 AM,10/26/25 11:44 AM
800000031223677899,800000031223677697,156,,CASH,Martina,Martina,0.00,9.07,Drive Thru Cash Drawer,10/26/25 11:49 AM,10/26/25 11:48 AM
800000031223939929,800000031223735366,142,,CASH,Martina,Martina,0.00,14.55,Drive Thru Cash Drawer,10/26/25 11:53 AM,10/26/25 11:49 AM
800000031224098657,800000031223771109,159,,CREDIT,Martina,Martina,0.00,10.77,,10/26/25 11:55 AM,10/26/25 11:50 AM
800000031224187936,800000031223912332,163,,CASH,Martina,Martina,0.00,19.78,Drive Thru Cash Drawer,10/26/25 11:57 AM,10/26/25 11:52 AM
800000031224224779,800000031224080449,165,,CREDIT,Martina,Martina,0.00,20.95,,10/26/25 11:57 AM,10/26/25 11:55 AM
800000031224316572,800000031224314350,160,,CASH,AM,AM,0.00,4.31,Front Box Cash Drawer,10/26/25 11:59 AM,10/26/25 11:59 AM
800000031224555034,800000031224212248,167,,CREDIT,Martina,Martina,0.00,20.90,,10/26/25 12:03 PM,10/26/25 11:57 AM
800000031224631133,800000031224309228,162,,CREDIT,Martina,Martina,0.00,32.14,,10/26/25 12:04 PM,10/26/25 11:59 AM
800000031224735842,800000031224241718,114,,CREDIT,Martina,Martina,0.00,19.96,,10/26/25 12:05 PM,10/26/25 11:58 AM
800000031224804717,800000031224273270,168,,CASH,Martina,Martina,0.00,30.14,Drive Thru Cash Drawer,10/26/25 12:06 PM,10/26/25 11:58 AM
